,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,108828,lh,w,156.0,112.0,258.0,2.301,0.397,0.061,0.008,0.0,0.1,0.5061990022659302,0.8916051387786865,0.27333274483680725,0.46018701791763306
0,108828,rh,POS,2255.0,1582.0,3172.0,2.366,0.441,0.117,0.021,16.0,2.0,0.6224988698959351,1.659403681755066,0.34172356128692627,0.47312259674072266
0,108828,rh,prculs,470.0,322.0,653.0,2.045,0.299,0.095,0.011,2.0,0.2,0.29368579387664795,0.8096920847892761,0.16122011840343475,0.4089810252189636
0,108828,rh,prcus1,363.0,292.0,723.0,2.738,0.29,0.142,0.022,3.0,0.4,-0.21035709977149963,0.19066086411476135,-0.11547646671533585,0.5475015640258789
0,108828,rh,prcus2,677.0,496.0,1129.0,2.39,0.324,0.114,0.017,4.0,0.5,0.295897901058197,0.8664225339889526,0.16243445873260498,0.4779890179634094
0,108828,rh,prcus3,253.0,188.0,448.0,2.563,0.268,0.124,0.019,2.0,0.2,0.25424206256866455,0.680208683013916,0.1395673006772995,0.5126326084136963
0,108828,rh,MCGS,1028.0,736.0,1616.0,2.372,0.499,0.1,0.015,5.0,0.7,0.44589561223983765,1.4118379354476929,0.24477635324001312,0.47437211871147156
0,108828,rh,sbps,952.0,674.0,1575.0,2.624,0.306,0.118,0.024,6.0,0.9,0.33272507786750793,0.9498381018638611,0.18265090882778168,0.5247500538825989
0,108828,rh,2,96.0,73.0,277.0,3.826,0.523,0.146,0.029,1.0,0.1,-0.0017992699285969138,0.18191896378993988,-0.0009877177653834224,0.7652525305747986
0,108828,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108828,rh,3,16.0,14.0,42.0,2.689,0.179,0.133,0.019,0.0,0.0,-0.15201720595359802,-0.11716904491186142,-0.08345051854848862,0.5378472805023193
0,108828,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108828,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108828,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108828,rh,w,83.0,59.0,155.0,2.541,0.372,0.07,0.01,0.0,0.0,0.5450071096420288,0.8109281659126282,0.299184113740921,0.5082737803459167
