"","sub","label","sulcal_width_mm","hemi"
"233",103818,"prcus_i",0.653554123155872,"lh"
"234",104416,"prcus_i",1.10585084049128,"lh"
"235",104820,"prcus_i",0.781910212523195,"lh"
"236",105014,"prcus_i",1.06763476866747,"lh"
"237",105115,"prcus_i",1.56579695300559,"lh"
"238",105216,"prcus_i",1.20517499293716,"lh"
"239",105620,"prcus_i",1.38828451442313,"lh"
"240",106016,"prcus_i",1.35423885510948,"lh"
"241",106319,"prcus_i",1.65145530202865,"lh"
"242",106521,"prcus_i",1.06203921943283,"lh"
"243",107018,"prcus_i",1.38692161843431,"lh"
"244",107220,"prcus_i",1.07693522033783,"lh"
"245",107321,"prcus_i",1.51514213026881,"lh"
"246",107422,"prcus_i",0.957198751082829,"lh"
"247",107725,"prcus_i",1.11634975072658,"lh"
"248",108121,"prcus_i",1.13782231658827,"lh"
"249",108222,"prcus_i",1.39347395245504,"lh"
"250",108323,"prcus_i",0.869264375023964,"lh"
"251",108525,"prcus_i",0.938355082910672,"lh"
"252",108828,"prcus_i",1.29435494518569,"lh"
"253",109123,"prcus_i",1.02846893515761,"lh"
"254",109325,"prcus_i",1.45960659276149,"lh"
"255",109830,"prcus_i",1.06908638885345,"lh"
"256",110007,"prcus_i",0.657189057922379,"lh"
"257",110411,"prcus_i",1.47970194395756,"lh"
"258",110613,"prcus_i",1.29886782832744,"lh"
"259",112920,"prcus_i",1.18337072992702,"lh"
"260",114924,"prcus_i",1.00875356478252,"lh"
"261",120111,"prcus_i",1.15423126104847,"lh"
"262",128127,"prcus_i",1.43157803414341,"lh"
"263",133928,"prcus_i",1.03279869527742,"lh"
"264",144125,"prcus_i",1.19720388607456,"lh"
"265",146937,"prcus_i",NA,"lh"
"266",151425,"prcus_i",1.24896719773884,"lh"
"267",151829,"prcus_i",1.45347676401179,"lh"
"268",164939,"prcus_i",1.10685966282048,"lh"
"269",168240,"prcus_i",1.37643507352728,"lh"
"270",176744,"prcus_i",1.64721842443768,"lh"
"271",180937,"prcus_i",1.61512481995914,"lh"
"272",185947,"prcus_i",1.60410433105034,"lh"
"273",214019,"prcus_i",1.04647689946463,"lh"
"274",268749,"prcus_i",1.60880464691874,"lh"
"275",365343,"prcus_i",1.44884519663858,"lh"
"276",380036,"prcus_i",1.77343398060837,"lh"
"277",517239,"prcus_i",1.33264448022603,"lh"
"278",522434,"prcus_i",0.819342106654393,"lh"
