"","sub","hemi","parietal_sa","cingulate_sa","cortex_sa","species"
"254","nc27","rh",21872,3340,81325,"chimpanzee"
"255","nc28","lh",21822,3105,75110,"chimpanzee"
"256","nc28","rh",21543,3274,74700,"chimpanzee"
"257","nc29","lh",22349,3642,82040,"chimpanzee"
"258","nc29","rh",22634,3377,82443,"chimpanzee"
"259","nc30","lh",22408,4355,84382,"chimpanzee"
"260","nc30","rh",22142,3705,81191,"chimpanzee"
"261","nc31","lh",18551,3059,67899,"chimpanzee"
"262","nc31","rh",18913,2766,67863,"chimpanzee"
"263","nc32","lh",19731,3747,71026,"chimpanzee"
"264","nc32","rh",20599,3054,72031,"chimpanzee"
