sub,hemi,mcgs_pattern,mcgs_db,mcgs_sb,species
c22,lh,Y,no,no,chimpanzee
c22,rh,trident,yes,yes,chimpanzee
c23,lh,Y,yes,no,chimpanzee
c23,rh,Y,yes,no,chimpanzee
c24,lh,trident,yes,yes,chimpanzee
c24,rh,Y,yes,no,chimpanzee
c25,lh,Y,yes,no,chimpanzee
c25,rh,Y,yes,no,chimpanzee
c26,lh,trident,yes,yes,chimpanzee
c26,rh,trident,yes,yes,chimpanzee
c27,lh,trident,yes,yes,chimpanzee
c27,rh,trident,yes,yes,chimpanzee
c28,lh,Y,yes,no,chimpanzee
c28,rh,Y,yes,no,chimpanzee
c29,lh,Y,yes,no,chimpanzee
c29,rh,Y,yes,no,chimpanzee
c30,lh,Y,yes,no,chimpanzee
c30,rh,Y,yes,no,chimpanzee
nc02,lh,Y,yes,no,chimpanzee
nc02,rh,trident,yes,yes,chimpanzee
nc03,lh,Y,yes,no,chimpanzee
nc03,rh,Y,yes,no,chimpanzee
nc04,lh,trident,yes,yes,chimpanzee
nc04,rh,trident,yes,yes,chimpanzee
nc05,lh,Y,yes,no,chimpanzee
nc05,rh,Y,yes,no,chimpanzee
nc06,lh,Y,yes,no,chimpanzee
nc06,rh,Y,yes,no,chimpanzee
nc07,lh,trident,yes,yes,chimpanzee
nc07,rh,trident,yes,yes,chimpanzee
nc08,lh,trident,yes,yes,chimpanzee
nc08,rh,Y,yes,no,chimpanzee
nc09,lh,Y,yes,no,chimpanzee
nc09,rh,Y,yes,no,chimpanzee
nc10,lh,Y,yes,no,chimpanzee
nc10,rh,trident,yes,yes,chimpanzee
nc11,lh,Y,yes,no,chimpanzee
nc11,rh,trident,yes,yes,chimpanzee
nc12,lh,Y,yes,no,chimpanzee
nc12,rh,trident,yes,yes,chimpanzee
nc13,lh,trident,yes,yes,chimpanzee
nc13,rh,trident,yes,yes,chimpanzee
nc14,lh,Y,yes,no,chimpanzee
nc14,rh,Y,yes,no,chimpanzee
nc15,lh,Y,yes,no,chimpanzee
nc15,rh,trident,yes,yes,chimpanzee
nc16,lh,Y,yes,no,chimpanzee
nc16,rh,Y,yes,no,chimpanzee
nc17,lh,Y,yes,no,chimpanzee
nc17,rh,Y,yes,no,chimpanzee
nc18,lh,single,no,no,chimpanzee
nc18,rh,trident,yes,yes,chimpanzee
nc19,lh,Y,yes,no,chimpanzee
nc19,rh,single,no,no,chimpanzee
nc20,lh,Y,yes,no,chimpanzee
nc20,rh,trident,yes,yes,chimpanzee
nc21,lh,Y,yes,no,chimpanzee
nc21,rh,Y,yes,no,chimpanzee
nc22,lh,Y,yes,no,chimpanzee
nc22,rh,Y,yes,no,chimpanzee
nc23,lh,Y,yes,no,chimpanzee
nc23,rh,trident,yes,yes,chimpanzee
nc24,lh,Y,yes,no,chimpanzee
nc24,rh,Y,yes,no,chimpanzee
nc25,lh,trident,yes,yes,chimpanzee
nc25,rh,Y,yes,no,chimpanzee
nc26,lh,trident,yes,yes,chimpanzee
nc26,rh,Y,yes,no,chimpanzee
nc27,lh,Y,yes,no,chimpanzee
nc27,rh,Y,yes,no,chimpanzee
nc28,lh,Y,yes,no,chimpanzee
nc28,rh,Y,yes,no,chimpanzee
nc29,lh,trident,yes,yes,chimpanzee
nc29,rh,trident,yes,yes,chimpanzee
nc30,lh,Y,yes,no,chimpanzee
nc30,rh,Y,yes,no,chimpanzee
nc31,lh,Y,yes,no,chimpanzee
nc31,rh,Y,yes,no,chimpanzee
nc32,lh,Y,yes,no,chimpanzee
nc32,rh,trident,yes,yes,chimpanzee
