,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
579,105115,rh,pos,0,1253,913,2033,2.517,0.395,0.115,0.019,7,1.1,0.366799741983414,1.17979693412781,0.190340846776962,0.503443896770477,present,15.1917801407842
580,105115,rh,prculs_d,0,347,249,531,2.458,0.216,0.108,0.016,2,0.2,0.300260275602341,1.09517359733582,0.155811980366707,0.491685926914215,present,14.066335705835
581,105115,rh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
582,105115,rh,prcus_a,0,265,194,455,2.418,0.302,0.106,0.012,1,0.1,0.316451787948608,0.852014541625977,0.164214134216309,0.48356232047081,present,10.0884891423247
583,105115,rh,prcus_i,0,439,323,715,2.503,0.298,0.123,0.019,3,0.4,0.291882872581482,0.726491451263428,0.151464760303497,0.50056928396225,present,11.7299986963382
584,105115,rh,prcus_p,0,198,144,365,2.574,0.286,0.104,0.01,1,0.1,0.149490997195244,0.576309621334076,0.0775743275880814,0.514742016792297,present,6.84049920553371
585,105115,rh,spls,0,599,411,937,2.639,0.361,0.103,0.018,3,0.4,0.623982489109039,1.1270614862442,0.323798894882202,0.527766406536102,present,12.4800414189592
586,105115,rh,sspls_d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
587,105115,rh,sspls_v,0,148,111,376,3.445,0.45,0.113,0.019,1,0.1,-0.340376764535904,-0.0811296254396439,-0.17662937939167,0.68898218870163,present,0.716913511318179
588,105115,rh,w,0,130,92,229,2.46,0.296,0.087,0.013,0,0.1,0.416042119264603,0.685418546199799,0.215893879532814,0.492006152868271,present,9.37629200520234
589,105216,lh,icgs_p,0,49,33,130,3.637,0.426,0.107,0.02,0,0,-0.132492899894714,0.0233061220496893,-0.0709271654486656,0.727342963218689,present,2.50388269632179
590,105216,lh,ifrms,0,139,98,354,3.545,0.394,0.135,0.025,1,0.2,-0.102808967232704,0.34239473938942,-0.0550365187227726,0.708950996398926,present,2.29987667704937
591,105216,lh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
592,105216,lh,mcgs,0,1242,852,1735,2.24,0.355,0.082,0.01,4,0.5,0.423614352941513,1.1954425573349,0.226772636175156,0.447956115007401,present,15.9923426698493
593,105216,lh,pos,0,974,707,1451,2.263,0.392,0.114,0.02,5,0.9,0.568036615848541,1.09267640113831,0.30408588051796,0.45257031917572,present,18.5381046339495
594,105216,lh,prculs_d,0,929,666,1206,1.98,0.276,0.112,0.012,6,0.5,0.352042675018311,1.20281445980072,0.188458308577538,0.396013647317886,present,16.680272897964
595,105216,lh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
596,105216,lh,prcus_a,0,297,213,504,2.475,0.336,0.111,0.017,2,0.2,0.430467814207077,1.03597807884216,0.230441465973854,0.495077878236771,present,14.2752186775854
597,105216,lh,prcus_i,0,665,489,1045,2.248,0.363,0.121,0.016,4,0.5,0.0518965758383274,0.993388116359711,0.0277816858142614,0.449535399675369,present,12.4994356173732
598,105216,lh,prcus_p,0,302,215,477,2.095,0.363,0.114,0.012,2,0.2,0.145775496959686,0.77876216173172,0.0780376940965652,0.418993920087814,present,9.27978346926216
599,105216,lh,spls,0,883,623,1432,2.506,0.499,0.111,0.019,5,0.8,0.547845125198364,1.25229287147522,0.293276816606522,0.501235723495483,present,16.0989518018737
600,105216,lh,sspls_d,0,40,30,106,3.143,0.317,0.117,0.023,0,0,-0.100371912121773,0.0751787647604942,-0.0537318959832191,0.628614485263824,present,1.99660858718113
601,105216,lh,sspls_v,0,344,242,561,2.426,0.394,0.112,0.017,2,0.3,-0.025927996262908,0.341857194900513,-0.0138799799606204,0.485200673341751,present,7.22021367897606
602,105216,lh,w,0,288,198,500,2.621,0.295,0.066,0.01,0,0.2,0.324742645025253,0.617157816886902,0.173843815922737,0.524203658103943,present,11.7651420266934
603,105216,rh,icgs_p,0,69,49,165,2.789,0.311,0.107,0.024,0,0.1,-0.16236586868763,-0.0505815744400024,-0.0877030864357948,0.557818651199341,present,2.05165623740213
