"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"635","c24","rh","pos",0,2073,1432,2532,2.003,0.626,0.098,0.023,10,1.6,0.455432921648026,1.52574741840363,0.224538758397102,0.400685757398605,"present",17.8643005468086
"636","c24","rh","prculs_d",0,397,266,372,1.479,0.444,0.085,0.012,2,0.2,0.128625497221947,1.15219187736511,0.0634152814745903,0.295879602432251,"present",14.0263489793326
"637","c24","rh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"638","c24","rh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"639","c24","rh","prcus_i",0,123,88,316,3.639,0.394,0.084,0.026,0,0.1,-0.332596778869629,-0.160425320267677,-0.163977786898613,0.727763235569,"present",1.98117161826849
"640","c24","rh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"641","c24","rh","spls",0,329,221,731,3.734,0.676,0.088,0.022,1,0.3,-0.149357244372368,0.184657767415047,-0.0736365020275116,0.746717274188995,"present",2.68193169770289
"642","c24","rh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"643","c24","rh","sspls_v",0,57,44,211,4.334,0.398,0.044,0.009,0,0,-0.330160111188889,-0.238530352711678,-0.162776410579681,0.866710782051086,"present",0.670469094663009
"644","c24","rh","w",0,223,149,408,2.831,0.592,0.06,0.009,0,0.1,0.47863444685936,0.858831465244293,0.23597763478756,0.566196858882904,"present",12.1525220805842
"645","c25","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"646","c25","lh","ifrms",0,35,24,114,4.524,0.209,0.07,0.017,0,0,-0.00265616807155311,0.157578706741333,-0.00139529339503497,0.90489137172699,"present",1.80984075919982
"647","c25","lh","isms",0,181,135,445,3.487,0.875,0.103,0.024,1,0.1,-0.0646883919835091,0.304231435060501,-0.0339810140430927,0.697303473949432,"present",5.44326866896353
"648","c25","lh","mcgs",0,1305,907,2023,2.371,0.58,0.069,0.007,3,0.4,0.6111661195755,1.47669768333435,0.321047455072403,0.474207520484924,"present",17.468515502999
"649","c25","lh","pos",0,955,672,1046,1.849,0.481,0.084,0.013,4,0.5,0.689533054828644,1.52333891391754,0.362213909626007,0.369871586561203,"present",16.7531893779922
"650","c25","lh","prculs_d",0,595,416,709,1.804,0.542,0.077,0.011,2,0.2,0.240213453769684,1.33132767677307,0.126184895634651,0.360830515623093,"present",14.341036370886
"651","c25","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"652","c25","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"653","c25","lh","prcus_i",0,161,121,346,2.627,0.698,0.081,0.01,1,0,-0.370530217885971,0.0212702769786119,-0.194640681147575,0.525422632694244,"present",4.53334133416067
"654","c25","lh","prcus_p",0,79,59,256,4.073,0.703,0.091,0.006,0,0,-0.206082433462143,0.0358691029250622,-0.10825577378273,0.814573049545288,"present",7.00211201562498
"655","c25","lh","spls",0,362,246,577,2.704,1.069,0.087,0.009,1,0.2,0.296408921480179,0.669244289398193,0.155704513192177,0.540703773498535,"present",9.93331834181904
"656","c25","lh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"657","c25","lh","sspls_v",0,125,92,377,4.176,0.462,0.077,0.009,0,0.1,-0.134956732392311,0.0156433451920748,-0.0708931982517242,0.83518248796463,"present",1.89260576958146
"658","c25","lh","w",0,254,170,437,2.649,0.338,0.038,0.003,0,0,0.328218340873718,0.701211154460907,0.172414124011993,0.529898047447205,"present",13.3225255960952
"659","c25","rh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"660","c25","rh","ifrms",0,28,23,130,4.607,0.276,0.11,0.012,0,0,-0.0913561806082726,-0.0248603615909815,-0.0457411482930183,0.921352326869965,"present",1.85719808599831
"661","c25","rh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"662","c25","rh","mcgs",0,1223,866,1652,1.974,0.602,0.078,0.009,4,0.4,0.509258210659027,1.47025442123413,0.254980623722076,0.394722431898117,"present",16.7334790101046
"663","c25","rh","pos",0,1282,894,1692,2.119,0.641,0.073,0.01,3,0.5,0.561671495437622,1.55730128288269,0.28122341632843,0.423748344182968,"present",17.1747911561409
"664","c25","rh","prculs_d",0,455,321,643,2.045,0.502,0.083,0.008,2,0.1,0.414465725421906,1.3350602388382,0.207518965005875,0.408910870552063,"present",14.9150231025823
"665","c25","rh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"666","c25","rh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
