"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","sulcal_depth_mm"
"124","c22","rh","mcgs_db",0,400,281,426,1.748,0.573,0.099,0.013,2,0.2,0.623009562492371,1.38186895847321,0.316521823406219,0.349547266960144,14.8305715364655
"125","c22","rh","mcgs_mb",0,819,537,947,2.144,0.732,0.083,0.013,4,0.4,0.652696251869202,1.49279594421387,0.331604272127151,0.428819060325623,15.6658380922906
"126","c22","rh","mcgs_sb",0,159,108,242,2.507,0.866,0.094,0.022,1,0.1,0.402428358793259,0.947676479816437,0.20445491373539,0.50141054391861,8.61426208976687
"127","c23","lh","mcgs_db",0,767,521,631,1.277,0.341,0.081,0.01,3,0.3,0.40738508105278,1.31143736839294,0.214689016342163,0.255317479372025,13.7604969415565
"128","c23","lh","mcgs_mb",0,944,655,1121,1.921,0.575,0.083,0.013,3,0.4,0.648732244968414,1.42978823184967,0.341877222061157,0.384219527244568,15.694357031679
"129","c23","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","c23","rh","mcgs_db",0,1240,853,1283,1.629,0.417,0.075,0.01,3,0.5,0.567217707633972,1.32507646083832,0.27685421705246,0.325872421264648,14.1429373800852
"131","c23","rh","mcgs_mb",0,806,560,1096,2.312,0.7,0.097,0.016,4,0.5,0.58507376909256,1.41440963745117,0.285569608211517,0.462397634983063,15.4486183766592
"132","c23","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","c24","lh","mcgs_db",0,388,264,425,1.842,0.61,0.091,0.018,2,0.2,0.645547986030579,1.31263959407806,0.331552535295486,0.368458300828934,20.5040016886815
"134","c24","lh","mcgs_mb",0,949,641,1193,2.061,0.698,0.079,0.016,4,0.7,0.711867809295654,1.59461045265198,0.365614295005798,0.412199258804321,20.8912152489688
