,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
269,120111,rh,mcgs_mb,0,973,666,1318,2.211,0.34,0.093,0.014,4,0.6,0.593627631664276,1.29842281341553,0.322587132453918,0.442258983850479,14.8227135320775
270,120111,rh,mcgs_sb,0,109,90,202,2.313,0.322,0.113,0.022,0,0.1,0.4471076130867,0.907365024089813,0.24296572804451,0.462650895118713,9.69499729051251
271,128127,lh,mcgs_db,0,614,454,798,2.02,0.273,0.099,0.014,3,0.4,0.448371201753616,1.22983133792877,0.232883468270302,0.40406921505928,15.173993062468
272,128127,lh,mcgs_mb,0,539,374,695,2.185,0.311,0.115,0.015,4,0.3,0.645849168300629,1.33763539791107,0.335453361272812,0.437092036008835,15.642953429756
273,128127,lh,mcgs_sb,0,95,70,168,2.481,0.339,0.123,0.023,1,0.1,0.40940997004509,0.802334547042847,0.212647065520287,0.496239483356476,10.2488719263336
274,128127,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,128127,rh,mcgs_mb,0,783,580,1102,2.203,0.375,0.119,0.018,5,0.7,0.416892260313034,1.20561599731445,0.222111418843269,0.440608352422714,11.7346018203818
276,128127,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,133928,lh,mcgs_db,0,362,255,482,1.985,0.227,0.096,0.012,2,0.2,0.326975017786026,0.867313385009766,0.163818717002869,0.396909356117249,11.4974384020011
278,133928,lh,mcgs_mb,0,708,495,898,2.08,0.305,0.103,0.015,3,0.5,0.568273067474365,1.33662104606628,0.284712135791779,0.415911138057709,16.3831218720382
279,133928,lh,mcgs_sb,0,28,20,54,2.509,0.27,0.099,0.024,0,0,0.358230084180832,0.611476421356201,0.179477900266647,0.501807808876038,6.27345063968868
280,133928,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,133928,rh,mcgs_mb,0,770,549,1033,2.102,0.337,0.089,0.012,3,0.4,0.654514908790588,1.39969873428345,0.322365164756775,0.420482993125916,17.0596530830361
282,133928,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,144125,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,144125,lh,mcgs_mb,0,476,360,765,2.294,0.377,0.13,0.025,3,0.6,0.303020596504211,1.03872621059418,0.162311851978302,0.458701819181442,11.7567662066568
285,144125,lh,mcgs_sb,0,139,107,208,2.119,0.308,0.143,0.027,1,0.2,0.642103374004364,1.06015598773956,0.343940228223801,0.423858106136322,11.6719676445401
286,144125,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,144125,rh,mcgs_mb,0,811,590,1149,2.129,0.368,0.102,0.016,3,0.6,0.467297285795212,1.17455172538757,0.256583333015442,0.425745993852615,14.1761984393975
288,144125,rh,mcgs_sb,0,225,169,401,2.421,0.344,0.112,0.027,1,0.2,0.39211642742157,0.789646148681641,0.2153030782938,0.484112679958344,8.95145756814999
289,146937,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,146937,lh,mcgs_mb,0,664,464,908,2.101,0.327,0.112,0.018,4,0.6,0.45421040058136,1.17401337623596,0.227628022432327,0.420166343450546,15.1610150820549
291,146937,lh,mcgs_sb,0,41,31,74,3.116,0.433,0.093,0.028,0,0,0.69035267829895,0.929848492145538,0.345970988273621,0.623184025287628,12.1530081651566
292,146937,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,146937,rh,mcgs_mb,0,662,465,920,2.126,0.292,0.11,0.018,4,0.5,0.40852490067482,1.25489366054535,0.217812344431877,0.425170063972473,13.2877444902099
294,146937,rh,mcgs_sb,0,98,72,167,2.374,0.427,0.127,0.028,0,0.1,0.581068933010101,0.90741902589798,0.309807300567627,0.474829226732254,11.7289946916703
295,151425,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,151425,lh,mcgs_mb,0,447,344,700,2.108,0.309,0.116,0.013,3,0.3,0.41809818148613,1.04477679729462,0.239774331450462,0.421500593423843,12.130871653394
297,151425,lh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,151425,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,151425,rh,mcgs_mb,0,590,443,885,2.207,0.311,0.096,0.013,3,0.2,0.321025252342224,1.15814065933228,0.178318560123444,0.441330015659332,12.3790033198191
300,151425,rh,mcgs_sb,0,135,94,226,2.327,0.237,0.113,0.018,1,0.1,0.501128852367401,0.839208006858826,0.278359919786453,0.465336948633194,6.34874156914244
301,151829,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,151829,lh,mcgs_mb,0,584,419,819,2.203,0.371,0.105,0.017,3,0.4,0.338608175516129,1.13154315948486,0.178005009889603,0.440576434135437,14.1526979978936
303,151829,lh,mcgs_sb,0,63,43,103,2.609,0.499,0.116,0.022,0,0.1,0.62474262714386,0.943282902240753,0.328424781560898,0.521849632263184,11.2733898763406
304,151829,rh,mcgs_db,0,336,241,495,2.275,0.315,0.097,0.018,1,0.2,0.21918722987175,0.911192536354065,0.114495471119881,0.455038964748383,10.0602246942893
305,151829,rh,mcgs_mb,0,537,370,768,2.323,0.367,0.095,0.016,2,0.4,0.740482091903687,1.1887503862381,0.386800974607468,0.464685946702957,12.7259937086342
306,151829,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,164939,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
